Summary of Donations reported by Donors to Australian Labor Party - 2013-14,
data exported: 11/Jun/2016 23:06,
DonorClientNm,RecipientClientNm,AmountPaid,
"Zi Chun WANG","ALP National Secretariat","850000.0000",
"AUSTRALIA KINGOLD INVESTMENT DEVELOPMENT CO. PTY. LTD.","Australian Labor Party (ALP)","600000.0000",
"Mr JINGUI XU","Australian Labor Party (N.S.W. Branch)","400000.0000",
"CFMEU National Office","Australian Labor Party (Victorian Branch)","266000.0000",
"Australia Chinese Business Elite Awards Pty Ltd","ALP","260000.0000",
"Village Roadshow Limited","Australian Labor Party (National Secretariat)","227500.0000",
"Communications Electrical Electronic Energy Information Postal P","Australian Labor Party (ALP)","200000.0000",
"Mr Lawrence Kung","ALP (Griffith FEC)","200000.0000",
"Sunpac Resources Pty Ltd","Australian Labor Party (ALP)","200000.0000",
"Wei Wah International Trading Pty Ltd","Australian Labor Party (ALP)","200000.0000",
"Yuhu Group (Australia) Pty Ltd","Australian Labor Party (N.S.W. Branch)","200000.0000",
"Unions NSW","Australian Labor Party (N.S.W. Branch)","169154.0000",
"Electrical Trades Union","Australian Labor Party (Victorian Branch)","140000.0000",
"CFMEU National Office","Australian Labor Party (N.S.W. Branch)","115000.0000",
"Woodside Energy Limited","Australian Labor Party (ALP)","110000.0000",
"Macquarie Group Limited","Australian Labor Party (ALP)","109980.0000",
"Hudson Chen","ALP-NSW","107250.0000",
"Mr Ben Pan","ALP","100000.0000",
"Mr Wencheng Guo","ALP-NSW","100000.0000",
"The Australian Workers' Union National Office","Australian Labor Party (ALP)","91500.0000",
"CFMEU National Office","Australian Labor Party (State of Queensland)","90000.0000",
"Ms Joanne Chapley","ALP-SA","82922.0000",
"CFMEU National Office","Australian Labor Party (Western Australian Branch)","80000.0000",
"ANZ Banking Group Limited","Australian Labor Party (ALP)","75000.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (ALP)","73904.0000",
"Mr Zhaokai Su","Australian Labor Party (ALP)","70000.0000",
"Australian Hotels Association (SA Branch)","Australian Labor Party (SA Branch) ALP-SA","69164.0000",
"Clubs Australia","ALP National Secretariat - ALP","66000.0000",
"Sutherland District Trade Union Club Limited","Australian Labor Party (N.S.W. Branch)","65300.0000",
"Mr Zhaokai Su","Australian Labor Party (N.S.W. Branch)","60000.0000",
"Yuhu Group (Australia) Pty Ltd","Australian Labor Party (ALP)","60000.0000",
"Commonwealth Bank of Australia","Australian Labor Party (ALP)","58150.0000",
"Beach Energy Limited","Australian Labor Party (South Australian Branch)","50000.0000",
"Hong Kong Kingson Investments","Australian Labor Party (ALP)","50000.0000",
"Luo Chuangxiong","ALP-NSW","50000.0000",
"Santos Limited","ALP-SA","49190.0000",
"Maurice Blackburn","Australian Labor Party (ALP)","49133.0000",
"Macquarie Telecom Pty Ltd","Australian Labor Party (ALP)","48500.0000",
"Mr Peter Hanlon","Australian Labor Party (South Australian Branch)","46400.0000",
"CFMEU Mining & Energy Division - National Office","Australian Labor Party (State of Queensland)","46000.0000",
"Austar Group Melbourne Pty Ltd","ALP","45000.0000",
"Lion Pty Ltd","Australian Labor Party (ALP)","45000.0000",
"National Australia Bank Limited","Australian Labor Party (ALP) / ALP","43500.0000",
"Macquarie Group Limited","Australian Labor Party (Victorian Branch)","42050.0000",
"Santos Limited","ALP-FED","40555.0000",
"Australian Services Union - National Office","Australian Labor Party (ALP)","40000.0000",
"Westpac Banking Corporation","Australian Labor Party (ALP)","38900.0000",
"Chevron Australia Pty Ltd","ALP","36300.0000",
"AUSTRALIA KINGOLD INVESTMENT DEVELOPMENT CO. PTY. LTD.","Australian Labor Party (N.S.W. Branch)","35000.0000",
"Financial Services Council Limited","ALP National Secretariat - ALP-FED","35000.0000",
"Australian Hotels Association (N.S.W.)","Australian Labor Party (N.S.W. Branch)","34500.0000",
"Ernst and Young Services Trust","Australian Labor Party (South Australian Branch)","33607.0000",
"Manildra Group","Australian Labor Party (ALP)","32272.0000",
"Crown Resorts Limited","Australian Labor Party (Western Australian Branch)","32144.0000",
"Southpaw Social Club (PLUS)","Australian Labor Party (South Australian Branch) ALP-SA","32000.0000",
"AMP Services Ltd","Australian Labor Party (ALP)","31515.0000",
"Pacific Equity Partners Pty Limited","ALP","30500.0000",
"Australia Chinese Teo Chew Association","ALP-NSW","30000.0000",
"Hong Kong Kingson Investments","Australian Labor Party (N.S.W. Branch)","30000.0000",
"Mr John Kirby","Australian Labor Party (State of Queensland)","30000.0000",
"Mr Peter Thomas Sherwood","ALP-QLD","30000.0000",
"Sentinel Property Group","ALP-QLD","30000.0000",
"Insurance Council of Australia Limited","ALP","29052.0000",
"Novartis Pharmaceuticals Australia Pty Limited","ALP","29000.0000",
"Deutsche Bank","Australian Labor Party (ALP)","28943.0000",
"Medicines Australia Ltd","ALP","28800.0000",
"AGL Energy Limited","ALP-VIC","28510.0000",
"Crown Resorts Limited","Australian Labor Party (Victorian Branch)","28490.0000",
"Suncorp Group Limited","Australian Labor Party (ALP)","28325.0000",
"Chevron Australia Pty Ltd","ALP-WA","28050.0000",
"Brookfield Australia Investments Group","Australian Labor Party (ALP)","27500.0000",
"KPMG Australia","ALP","27500.0000",
"SingTel Optus Pty Ltd","Australian Labor Party (ALP-FED)","27500.0000",
"Pfizer Australia Pty Limited","ALP-FED","26431.0000",
"Jefferson Investments Pty Limited","Australian Labor Party (Western Australian Branch)","25000.0000",
"Mr Nigel Satterley","Australian Labor Party (Western Australian Branch)","25000.0000",
"Perth Airport Pty Ltd","Australian Labor Party (ALP)","25000.0000",
"The Federal Group","Australian Labor Party (Tasmanian Branch)","25000.0000",
"Westpac Banking Corporation","Australian Labor Party (Victorian Branch)","24650.0000",
"Hualin Investment P/L","ALP","23600.0000",
"CUB Pty Ltd","Australian Labor Party (ALP)","22181.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (Victorian Branch)","21178.0000",
"Sanofi-Aventis Australia Pty Ltd","Australian Labor Party (ALP)","21100.0000",
"Revesby Workers' Club","Australian Labor Party (N.S.W. Branch)","20460.0000",
"KPMG Australia","Australian Labor Party (Victorian Branch)","20450.0000",
"Insurance Australia Group Limited","ALP-VIC Progressive Business Association","20150.0000",
"CFMEU - Construction & General Division, National Office","Australian Labor Party (State of Queensland)","20000.0000",
"CBD Energy Limited","Australian Labor Party (N.S.W. Branch)","20000.0000",
"Edinburgh Hotel Pty Ltd","Australian Labor Party (NSW Branch)","20000.0000",
"Financial Services Council Limited","ALP (NSW Branch) McMahon FCA - ALP-NSW","20000.0000",
"Hills Limited","Australian Labor Party (South Australian Branch)","20000.0000",
"Mandy Lee Real Estate P/L","Australian Labor Party (ALP)","20000.0000",
"Meriton Properties Pty Ltd","Australian Labor Party - NSW Branch","20000.0000",
"Metcash Trading Limited","Australian Labor Party (ALP)","20000.0000",
"Mr Mark Carnegie","Australian Labor Party (N.S.W. Branch)","20000.0000",
"Mr Weidong Wu","Australian Labor Party (ALP)","20000.0000",
"TO WING","ALP","20000.0000",
"NATIONAL ROADS & MOTORISTS' ASSOCIATION LIMITED","Australian Labor Party (ALP)","19500.0000",
"Allianz Australia Ltd","Australian Labor Party (ALP)","19450.0000",
"Origin Energy","Australian Labor Party (Victorian Branch)","18514.0000",
"Bluescope Steel Limited","ALP","18500.0000",
"Mineral Resources","Australian Labor Party (Western Australian Branch)","18500.0000",
"Insurance Australia Group Limited","ALP Australian Labor Party (ALP)","17500.0000",
"Assyrian Sports and Cultural Club Ltd","Australian Labor Party (N.S.W. Branch)","16600.0000",
"Origin Energy","Australian Labor Party (ALP)","16500.0000",
"Tabcorp Holdings Limited","Australian Labor Party (Victorian Branch)","16100.0000",
"Santos Limited","ALP-WA","16096.0000",
"Allianz Australia Ltd","Australian Labor Party (South Australian Branch)","16000.0000",
"Pricewaterhousecoopers","Australian Labor Party NSW","15450.0000",
"Westpac Banking Corporation","Australian Labor Party (South Australian Branch)","15450.0000",
"Pricewaterhousecoopers","Progressive Business Association ALP-VIC","15300.0000",
"Australian Hotels Association (N.S.W.)","Australian Labor Party (ALP)","15298.0000",
"Crown Resorts Limited","Australian Labor Party (ALP)","15273.0000",
"CFMEU National Office","Australian Labor Party (Tasmanian Branch)","15000.0000",
"Meriton Properties Pty Ltd","Australian Labor Party - NSW Branch - ALP-QLD","15000.0000",
"MSD","Australian Labor Party (ALP)","15000.0000",
"Randazzo C & G Development Pty Ltd","Australian Labor Party (Northern Territory) Branch","15000.0000",
"Hawker Britton Pty Ltd","Australian Labor Party (South Australian Branch) ALP-SA","14774.0000",
"Allianz Australia Ltd","Australian Labor Party (Victorian Branch)","14000.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (ALP)","13500.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor Party NSW Branch Federal Campain Account - ALP-","13400.0000",
"Westfield Group","Australian Labor Party (Victorian Branch) ALP-VIC","13100.0000",
"Hawker Britton Pty Ltd","Australian Labor Party (Victorian Branch) ALP-VIC","13067.0000",
"Cabcharge Australia Ltd","ALP - NSW","13000.0000",
"Springfield Land Corporation ATF Springfield Development Trust","Australian Labor Party (State of Queensland)","13000.0000",
"Financial Services Council Limited","Secondment - ALP-FED","12836.0000",
"Macquarie Group Limited","Australian Labor Party (South Australian Branch)","12380.0000",
"Linfox Australia Pty Ltd","Australian Labor Party (ALP)","12350.0000",
"AGL Energy Limited","ALP-SA","12090.0000",
"The Gandel Group Pty Ltd","Michael Danby's Re-Election Campaign - ALP - Vic","12000.0000",
